Date Collected,Date Dissected,Site,Phenotype,Bee Mass (g),Water volume (ul),Extraction volume (ul),Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,Total,Trypanosomes?
6/26/2021,6/27/2021,K Banner Creek Roadside,frigidus,0.11,200,10,2,1,1,0,0,4,yes
6/26/2021,6/27/2021,K Banner Creek Roadside,frigidus,0.11,200,10,0,0,0,0,0,0,no
6/26/2021,6/27/2021,K Banner Creek Roadside,frigidus,0.1,200,10,0,0,0,0,0,0,no
6/26/2021,6/27/2021,K Banner Creek Roadside,frigidus,0.14,200,10,6,3,5,4,6,24,yes
6/26/2021,6/27/2021,K Banner Creek Roadside,frigidus,0.12,200,10,9,5,3,14,9,40,yes
6/26/2021,6/27/2021,K Banner Creek Roadside,frigidus,0.06,200,10,2,2,4,3,5,16,yes
6/26/2021,6/27/2021,K Banner Creek Roadside,frigidus,0.11,200,10,1,4,2,2,0,9,yes
6/26/2021,6/27/2021,K Banner Creek Roadside,frigidus,0.13,200,10,0,0,0,0,0,0,no
6/26/2021,6/27/2021,K Banner Creek Roadside,frigidus,0.15,200,10,1,0,0,0,0,1,yes
6/26/2021,6/27/2021,K Banner Creek Roadside,frigidus,0.16,200,10,8,6,6,12,12,44,yes
6/26/2021,6/27/2021,K Banner Creek Roadside,frigidus,0.11,200,10,2,1,2,0,1,6,yes
6/26/2021,6/27/2021,K Banner Creek Roadside,frigidus,0.08,200,10,6,7,7,7,8,35,yes
6/26/2021,6/27/2021,K Banner Creek Roadside,frigidus,0.08,200,10,4,14,8,28,16,70,yes
6/26/2021,6/27/2021,K Banner Creek Roadside,frigidus,0.12,200,10,0,1,0,3,2,6,yes
6/26/2021,6/27/2021,K Banner Creek Roadside,frigidus,0.1,200,10,0,0,0,0,0,0,no
6/26/2021,6/27/2021,K Banner Creek Roadside,frigidus,0.09,200,10,1,1,0,0,0,2,yes
6/26/2021,6/27/2021,K Banner Creek Roadside,frigidus,0.09,200,10,15,24,25,20,33,117,yes
6/26/2021,6/27/2021,K Banner Creek Roadside,frigidus,0.09,200,10,0,0,0,0,0,0,no
6/26/2021,6/27/2021,K Banner Creek Roadside,frigidus,0.1,200,10,8,6,11,17,5,47,yes
6/26/2021,6/27/2021,K Banner Creek Roadside,frigidus,0.09,200,10,11,6,16,8,15,56,yes
6/26/2021,6/27/2021,K Banner Creek Roadside,frigidus,0.2,200,10,0,0,0,0,0,0,no
6/26/2021,6/27/2021,K Banner Creek Roadside,frigidus,0.15,200,10,0,0,0,0,0,0,no
6/26/2021,6/29/2021,K After Banner Creek Roadside,frigidus,0.1,200,10,0,1,0,0,0,1,yes
6/26/2021,6/29/2021,K After Banner Creek Roadside,frigidus,0.11,200,10,15,7,18,13,29,82,yes
6/26/2021,6/29/2021,K After Banner Creek Roadside,frigidus,0.08,200,10,0,0,0,0,0,0,no
6/26/2021,6/29/2021,K After Banner Creek Roadside,frigidus,0.08,200,10,0,0,0,0,0,0,no
6/26/2021,6/29/2021,K After Banner Creek Roadside,frigidus,0.09,200,10,11,9,10,7,11,48,yes
6/28/2021,6/29/2021,K Mile 20,frigidus,0.08,200,10,13,11,13,14,16,67,yes
6/28/2021,6/29/2021,K Mile 20,frigidus,0.11,200,10,32,37,30,35,36,170,yes
6/29/2021,7/1/2021,T Snake River,frigidus,0.12,200,10,1,1,1,0,0,3,yes
6/29/2021,7/1/2021,T Snake River,frigidus,0.1,200,10,0,0,0,0,0,0,no
6/29/2021,7/1/2021,T Snake River,frigidus,0.11,200,10,0,0,0,0,0,0,no
6/29/2021,7/1/2021,T Snake River,frigidus,0.12,200,10,11,11,10,12,9,53,yes
7/1/2021,7/1/2021,Icy View,frigidus,0.08,200,10,4,3,7,5,6,25,yes
7/1/2021,7/1/2021,Icy View,frigidus,0.05,200,10,8,15,9,18,12,62,yes
7/1/2021,7/1/2021,Icy View,frigidus,0.12,200,10,0,0,0,0,0,0,no
7/1/2021,7/1/2021,Icy View,frigidus,0.08,200,10,0,0,0,0,0,0,no
7/1/2021,7/1/2021,Icy View,frigidus,0.12,200,10,0,0,0,0,0,0,no
7/1/2021,7/1/2021,Icy View,frigidus,0.08,200,10,15,16,10,8,9,58,yes
7/1/2021,7/1/2021,Icy View,frigidus,0.1,200,10,12,20,17,8,13,70,yes
7/1/2021,7/1/2021,Icy View,frigidus,0.08,200,10,0,0,0,0,0,0,no
7/1/2021,7/1/2021,Icy View,frigidus,0.12,200,10,0,0,0,0,0,0,no
7/1/2021,7/1/2021,Icy View,frigidus,0.06,200,10,1,4,14,14,7,40,yes
7/2/2021,7/3/2021,Skookum,frigidus,0.24,200,10,0,0,0,0,0,0,no
7/2/2021,7/3/2021,Skookum,frigidus,0.15,200,10,11,16,8,11,4,50,yes
7/2/2021,7/3/2021,Skookum,frigidus,0.17,200,10,0,0,0,0,0,0,no
7/2/2021,7/3/2021,Skookum,frigidus,0.12,200,10,0,0,0,0,0,0,no
7/2/2021,7/3/2021,Skookum,frigidus,0.15,200,10,0,0,0,0,0,0,no
7/2/2021,7/3/2021,Skookum,frigidus,0.1,200,10,16,18,10,17,8,69,yes
7/2/2021,7/3/2021,Skookum,frigidus,0.22,200,10,0,0,0,0,0,0,no
